,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.25,0
1,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,1,2,major,0,note,G4,G,G,0,4,67,7,0.125,0.5
2,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.125,0.75
3,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,1,2,major,0,note,B4,B,B,0,4,71,11,0.25,1.0
4,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,1,2,major,0,rest,,,,,,,,0.125,0.0
5,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,1,2,major,0,note,D4,D,D,0,4,62,2,0.5,0.25
6,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,1,2,major,0,note,E4,E,E,0,4,64,4,0.125,1.25
7,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,1,2,major,0,rest,,,,,,,,0.125,0.0
8,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,1,2,major,0,note,B3,B,B,0,3,59,11,0.5,0.25
9,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,1,2,major,0,note,C#4,C#,C,1,4,61,1,0.125,1.25
10,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,1,2,major,0,note,B3,B,B,0,3,59,11,0.375,0.0
11,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,1,2,major,0,note,A3,A,A,0,3,57,9,0.125,0.75
12,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,1,2,major,0,note,G3,G,G,0,3,55,7,0.25,1.0
13,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,2,,,,note,B4,B,B,0,4,71,11,0.25,1.5
14,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,2,,,,note,A#4,A#,A,1,4,70,10,0.125,2.0
15,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,2,,,,note,B4,B,B,0,4,71,11,0.125,2.25
16,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,2,,,,note,C#5,C#,C,1,5,73,1,0.125,2.5
17,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,2,,,,note,A#4,A#,A,1,4,70,10,0.125,2.75
18,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,2,,,,note,F#4,F#,F,1,4,66,6,0.75,1.5
19,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,2,,,,note,D4,D,D,0,4,62,2,0.125,1.5
20,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,2,,,,note,B3,B,B,0,3,59,11,0.125,1.75
21,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,2,,,,note,C#4,C#,C,1,4,61,1,0.125,2.0
22,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,2,,,,note,D4,D,D,0,4,62,2,0.125,2.25
23,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,2,,,,note,E4,E,E,0,4,64,4,0.25,2.5
24,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,2,,,,note,F#3,F#,F,1,3,54,6,0.75,1.5
25,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,3,,,,note,B4,B,B,0,4,71,11,0.75,3.0
26,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,3,,,,rest,,,,,,,,0.125,3.0
27,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,3,,,,note,G4,G,G,0,4,67,7,0.125,3.25
28,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,3,,,,note,F#4,F#,F,1,4,66,6,0.125,3.5
29,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,3,,,,note,E4,E,E,0,4,64,4,0.125,3.75
30,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,3,,,,note,F#4,F#,F,1,4,66,6,0.125,4.0
31,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,3,,,,note,G4,G,G,0,4,67,7,0.125,4.25
32,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,3,,,,note,E4,E,E,0,4,64,4,0.25,3.0
33,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,3,,,,note,D4,D,D,0,4,62,2,0.125,3.5
34,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,3,,,,note,C#4,C#,C,1,4,61,1,0.125,3.75
35,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,3,,,,note,D4,D,D,0,4,62,2,0.25,4.0
36,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,3,,,,note,B3,B,B,0,3,59,11,0.75,3.0
37,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,4,,,,note,A#4,A#,A,1,4,70,10,0.25,4.5
38,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,4,,,,rest,,,,,,,,0.125,5.0
39,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,4,,,,note,B4,B,B,0,4,71,11,0.125,5.25
40,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,4,,,,note,C#5,C#,C,1,5,73,1,0.25,5.5
41,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,4,,,,note,E4,E,E,0,4,64,4,0.125,4.5
42,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,4,,,,note,F#4,F#,F,1,4,66,6,0.125,4.75
43,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,4,,,,note,G4,G,G,0,4,67,7,0.375,5.0
44,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,4,,,,note,F#4,F#,F,1,4,66,6,0.125,5.75
45,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,4,,,,rest,,,,,,,,0.25,4.5
46,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,4,,,,note,E4,E,E,0,4,64,4,0.5,5.0
47,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,4,,,,note,C#4,C#,C,1,4,61,1,0.125,4.5
48,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,4,,,,note,D4,D,D,0,4,62,2,0.125,4.75
49,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,4,,,,note,E4,E,E,0,4,64,4,0.25,5.0
50,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,4,,,,note,A#3,A#,A,1,3,58,10,0.25,5.5
51,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,5,,,,note,D5,D,D,0,5,74,2,0.375,6.0
52,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,5,,,,note,C#5,C#,C,1,5,73,1,0.125,6.75
53,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,5,,,,note,B4,B,B,0,4,71,11,0.25,7.0
54,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,5,,,,note,F#4,F#,F,1,4,66,6,0.125,6.0
55,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,5,,,,note,D4,D,D,0,4,62,2,0.125,6.25
56,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,5,,,,note,F#4,F#,F,1,4,66,6,0.375,6.5
57,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,5,,,,note,E#4,E#,E,1,4,65,5,0.125,7.25
58,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,5,,,,note,D4,D,D,0,4,62,2,0.5,6.0
59,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,5,,,,note,D4,D,D,0,4,62,2,0.125,7.0
60,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,5,,,,note,C#4,C#,C,1,4,61,1,0.125,7.25
61,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,5,,,,note,B3,B,B,0,3,59,11,0.375,6.0
62,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,5,,,,note,A3,A,A,0,3,57,9,0.125,6.75
63,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,5,,,,note,G#3,G#,G,1,3,56,8,0.25,7.0
64,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,6,,,,note,B4,B,B,0,4,71,11,0.25,7.5
65,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,6,,,,note,A4,A,A,0,4,69,9,0.125,8.0
66,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,6,,,,note,G#4,G#,G,1,4,68,8,0.125,8.25
67,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,6,,,,note,F#4,F#,F,1,4,66,6,0.25,8.5
68,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,6,,,,note,F#4,F#,F,1,4,66,6,0.5,7.5
69,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,6,,,,note,F#4,F#,F,1,4,66,6,0.125,8.5
70,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,6,,,,note,B3,B,B,0,3,59,11,0.125,8.75
71,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,6,,,,note,D4,D,D,0,4,62,2,0.125,7.5
72,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,6,,,,note,B3,B,B,0,3,59,11,0.125,7.75
73,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,6,,,,note,C#4,C#,C,1,4,61,1,0.375,8.0
74,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,6,,,,note,G#3,G#,G,1,3,56,8,0.125,8.75
75,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,6,,,,note,F#3,F#,F,1,3,54,6,0.375,7.5
76,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,6,,,,note,E3,E,E,0,3,52,4,0.125,8.25
77,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,6,,,,note,D3,D,D,0,3,50,2,0.25,8.5
78,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,7,,,,note,F#4,F#,F,1,4,66,6,0.25,9.0
79,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,7,,,,note,E#4,E#,E,1,4,65,5,0.125,9.5
80,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,7,,,,note,F#4,F#,F,1,4,66,6,0.125,9.75
81,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,7,,,,note,G#4,G#,G,1,4,68,8,0.125,10.0
82,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,7,,,,note,E#4,E#,E,1,4,65,5,0.125,10.25
83,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,7,,,,note,C#4,C#,C,1,4,61,1,0.75,9.0
84,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,7,,,,note,A3,A,A,0,3,57,9,0.125,9.0
85,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,7,,,,note,F#3,F#,F,1,3,54,6,0.125,9.25
86,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,7,,,,note,G#3,G#,G,1,3,56,8,0.125,9.5
87,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,7,,,,note,A3,A,A,0,3,57,9,0.125,9.75
88,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,7,,,,note,B3,B,B,0,3,59,11,0.25,10.0
89,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,7,,,,note,C#3,C#,C,1,3,49,1,0.75,9.0
90,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,8,,,,note,F#4,F#,F,1,4,66,6,0.5,10.5
91,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,8,,,,note,C#5,C#,C,1,5,73,1,0.25,11.5
92,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,8,,,,rest,,,,,,,,0.125,10.5
93,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,8,,,,note,D4,D,D,0,4,62,2,0.125,10.75
94,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,8,,,,note,C#4,C#,C,1,4,61,1,0.125,11.0
95,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,8,,,,note,D4,D,D,0,4,62,2,0.125,11.25
96,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,8,,,,note,E4,E,E,0,4,64,4,0.125,11.5
97,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,8,,,,note,C#4,C#,C,1,4,61,1,0.125,11.75
98,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,8,,,,note,B3,B,B,0,3,59,11,0.25,10.5
99,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,8,,,,note,A#3,A#,A,1,3,58,10,0.125,11.0
100,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,8,,,,note,B3,B,B,0,3,59,11,0.125,11.25
101,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,8,,,,note,C#4,C#,C,1,4,61,1,0.125,11.5
102,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,8,,,,note,A#3,A#,A,1,3,58,10,0.125,11.75
103,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,8,,,,note,F#3,F#,F,1,3,54,6,0.75,10.5
104,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,9,,,,note,C#5,C#,C,1,5,73,1,0.125,12.0
105,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,9,,,,note,F#4,F#,F,1,4,66,6,0.125,12.25
106,..\data\scores\Scarlatti_Domenico\Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87.mxl,Scarlatti_Domenico,Scarlatti_D._Keyboard_Sonata_in_B_minor_K.87,9,,,,note,B4,B,B,0,4,71,11,0.5,12.5
